jcd,r,close_time
01,1,14:57
01,2,15:25
01,3,15:54
01,4,16:23
01,5,16:53
01,6,17:23
01,7,17:54
01,8,18:25
01,9,18:59
01,10,19:33
01,11,20:07
01,12,20:40
04,1,11:48
04,2,12:17
04,3,12:46
04,4,13:16
04,5,13:47
04,6,14:18
04,7,14:50
04,8,15:22
04,9,15:52
04,10,16:27
04,11,17:00
04,12,17:35
05,1,11:29
05,2,12:00
05,3,12:27
05,4,13:00
05,5,13:28
05,6,14:02
05,7,14:32
05,8,15:05
05,9,15:37
05,10,16:08
05,11,16:41
05,12,17:15
07,1,15:19
07,2,15:46
07,3,16:11
07,4,16:39
07,5,17:11
07,6,17:38
07,7,18:03
07,8,18:29
07,9,18:55
07,10,19:25
07,11,19:57
07,12,20:35
09,1,10:28
09,2,10:58
09,3,11:24
09,4,11:54
09,5,12:24
09,6,12:53
09,7,13:23
09,8,13:53
09,9,14:28
09,10,15:03
09,11,15:38
09,12,16:15
10,1,08:48
10,2,09:14
10,3,09:40
10,4,10:06
10,5,10:34
10,6,11:04
10,7,11:35
10,8,12:07
10,9,12:40
10,10,13:13
10,11,13:48
10,12,14:24
11,1,10:31
11,2,11:01
11,3,11:32
11,4,12:03
11,5,12:30
11,6,12:56
11,7,13:26
11,8,13:59
11,9,14:36
11,10,15:09
11,11,15:41
11,12,16:14
13,1,10:36
13,2,10:59
13,3,11:22
13,4,11:46
13,5,12:20
13,6,13:04
13,7,13:38
13,8,14:11
13,9,14:47
13,10,15:15
13,11,15:48
13,12,16:21
14,1,08:32
14,2,08:58
14,3,09:24
14,4,09:50
14,5,10:21
14,6,10:49
14,7,11:17
14,8,11:51
14,9,12:22
14,10,12:57
14,11,13:33
14,12,14:13
15,1,15:17
15,2,15:42
15,3,16:06
15,4,16:35
15,5,17:01
15,6,17:26
15,7,17:51
15,8,18:16
15,9,18:47
15,10,19:18
15,11,19:49
15,12,20:30
17,1,10:45
17,2,11:14
17,3,11:43
17,4,12:15
17,5,12:51
17,6,13:22
17,7,13:56
17,8,14:26
17,9,14:55
17,10,15:35
17,11,16:04
17,12,16:49
23,1,08:40
23,2,09:06
23,3,09:32
23,4,09:58
23,5,10:26
23,6,10:56
23,7,11:26
23,8,11:57
23,9,12:33
23,10,13:06
23,11,13:40
23,12,14:21
